GENESIS-Tabelle: 12521-0021
Foreigners: Länder, reference date, sex/age years/marital;;;;;
status, country groups/citizenship;;;;;
Statistics of foreigners;;;;;
Foreigners (number);;;;;
;;;Sex;Sex;Sex
;;;Male;Female;Total
2019-12-31;Niedersachsen;Territory of former Serbia and Montenegro;21590;20140;41730
2019-12-31;Niedersachsen;Territory of the former Soviet Union;26900;37885;64785
2019-12-31;Niedersachsen;Territory of former Czechoslovakia;2490;2615;5105
2019-12-31;Niedersachsen;United Kingdom incl. British overseas territories;4735;2050;6785
2019-12-31;Nordrhein-Westfalen;Total;1439390;1271405;2710795
2019-12-31;Nordrhein-Westfalen;Europe;978915;896955;1875870
2019-12-31;Nordrhein-Westfalen;EU-28 (since 2013-07-01);568880;479855;1048735
2019-12-31;Nordrhein-Westfalen;EU-28 third countries (since 2013-07-01);870510;791550;1662065
2019-12-31;Nordrhein-Westfalen;EU-27 (until 2013-06-30);539755;453280;993035
2019-12-31;Nordrhein-Westfalen;EU-27 third countries (until 2013-06-30);899635;818125;1717765
2019-12-31;Nordrhein-Westfalen;EU-25 (until 2006-12-31);417785;355225;773015
2019-12-31;Nordrhein-Westfalen;EU-25 third countries (until 2006-12-31);1021605;916180;1937785
2019-12-31;Nordrhein-Westfalen;EU-15 (until 2004-04-30);269285;221125;490410
2019-12-31;Nordrhein-Westfalen;EU-15 third countries (until 2004-04-30);1170105;1050280;2220385
2019-12-31;Nordrhein-Westfalen;EC-12 (until 1994-12-31);255920;207045;462960
2019-12-31;Nordrhein-Westfalen;EC-12 third countries (until 1994-12-31);1183470;1064365;2247835
2019-12-31;Nordrhein-Westfalen;EC-10 (until 1985-12-31);209465;165370;374835
2019-12-31;Nordrhein-Westfalen;EC-10 third countries (until 1985-12-31);1229925;1106035;2335960
2019-12-31;Nordrhein-Westfalen;EC-9 (until 1980-12-31);155255;118715;273965
2019-12-31;Nordrhein-Westfalen;EC-9 third countries (until 1980-12-31);1284135;1152695;2436830
2019-12-31;Nordrhein-Westfalen;EEC-6 (until 1972-12-31);139025;109435;248460
2019-12-31;Nordrhein-Westfalen;EEC-6 third countries (until 1972-12-31);1300365;1161975;2462340
2019-12-31;Nordrhein-Westfalen;Africa;91290;68440;159735
2019-12-31;Nordrhein-Westfalen;North Africa;36430;27975;64405
2019-12-31;Nordrhein-Westfalen;West Africa;31095;21075;52165
2019-12-31;Nordrhein-Westfalen;Central Africa;6505;6020;12525
2019-12-31;Nordrhein-Westfalen;East Africa;14955;10590;25545
2019-12-31;Nordrhein-Westfalen;Southern Africa;2310;2785;5095
2019-12-31;Nordrhein-Westfalen;America;19120;25025;44145
2019-12-31;Nordrhein-Westfalen;North America;8685;8525;17205
2019-12-31;Nordrhein-Westfalen;Central America and Caribbean;3220;4430;7650
