GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz;Krafträder;Leichtkrafträder;Motorräder;Pkw;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse;Lkw;Lkw mit Spezialaufbau;Zugmaschinen;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2019;06431;Bergstraße, Landkreis;205834;17482;-;16975;170925;115532;52292;224;10152;185;6058;-;436;5622;993;1859;22067;12431;904
01.01.2019;06432;Darmstadt-Dieburg, Landkreis;222753;18735;-;18204;186019;126730;55177;134;10711;277;6352;-;1590;4762;802;2020;23387;13691;1398
01.01.2019;06433;Groß-Gerau, Landkreis;201497;14522;-;14116;173912;121892;49078;213;9143;188;2971;-;720;2251;736;1234;15535;8852;1228
01.01.2019;06434;Hochtaunuskreis;191750;12292;-;11950;166679;106518;56794;68;8581;130;3491;-;521;2970;639;1200;12610;7309;549
01.01.2019;06435;Main-Kinzig-Kreis;303926;23249;-;22256;254160;168975;80253;305;14986;363;9802;-;883;8919;1424;2269;31961;19464;1060
01.01.2019;06436;Main-Taunus-Kreis;217669;12039;-;11761;188700;122686;62906;147;14120;206;2042;-;194;1848;621;1018;10047;5457;245
01.01.2019;06437;Odenwaldkreis;76246;6134;-;5844;61715;40942;19456;196;3432;75;4282;-;105;4177;487;789;11011;7024;162
01.01.2019;06438;Offenbach, Landkreis;244757;17723;-;17306;212412;143710;64580;134;11574;283;2149;-;487;1662;765;1552;16457;9398;604
01.01.2019;06439;Rheingau-Taunus-Kreis;144852;12794;-;12304;120286;81315;36716;89;5799;145;5257;-;80;5177;627;1184;15262;9039;114
01.01.2019;06440;Wetteraukreis;226743;17520;-;16804;188362;125378;59570;205;10737;306;8915;-;487;8428;1004;1773;25794;15863;711
01.01.2019;06531;Gießen, Landkreis;181450;13354;-;12792;151188;98164;49854;292;9490;326;6207;-;704;5503;919;1613;21080;12232;1284
01.01.2019;06532;Lahn-Dill-Kreis;193775;15568;-;14976;160993;106024;52548;183;8992;212;7175;-;590;6585;864;1672;25208;15596;990
01.01.2019;06533;Limburg-Weilburg, Landkreis;133504;10788;-;10306;110013;70951;36990;236;6960;158;4842;-;389;4453;665;987;16595;10034;664
01.01.2019;06534;Marburg-Biedenkopf, Landkreis;172036;13565;-;13051;140523;94440;43759;368;7139;195;9629;-;404;9225;812;1380;21011;12982;619
01.01.2019;06535;Vogelsbergkreis;93136;7767;-;7184;70906;45826;23929;137;4089;145;9580;-;205;9375;657;750;15382;9978;338
01.01.2019;06611;Kassel, kreisfreie Stadt;103534;6247;-;6040;89343;58788;28694;107;6264;339;1044;-;366;678;529;1228;8520;4406;541
01.01.2019;06631;Fulda, Landkreis;179008;16444;-;15562;139762;89562;48119;289;9053;239;12600;-;585;12015;860;1518;24930;15535;960
01.01.2019;06632;Hersfeld-Rotenburg, Landkreis;99440;8625;-;8096;77695;50600;25913;63;4868;200;7537;-;521;7016;652;740;15532;10185;682
01.01.2019;06633;Kassel, Landkreis;180240;15617;-;14857;147167;101122;43365;161;8400;313;8125;-;1138;6987;770;2317;26319;15468;1518
01.01.2019;06634;Schwalm-Eder-Kreis;147778;13637;-;12860;116937;77122;37508;232;5752;204;10419;-;829;9590;801;1530;25074;16284;1067
