Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zaehlbezirk|Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_ROU;POP_HUN;POP_SYR;POP_RUS;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;92100;92114;2;2701;56;62;29;28;22;14;16;0;9;214;2251;20080101
AT1;AT13;AT130;92100;92115;2;2151;32;32;30;47;21;15;39;0;3;156;1776;20080101
AT1;AT13;AT130;92100;92116;2;1736;9;2;36;18;5;11;10;0;1;98;1546;20080101
AT1;AT13;AT130;92100;92117;2;3584;152;152;46;63;47;26;25;0;9;330;2734;20080101
AT1;AT13;AT130;92100;92118;2;3433;172;122;77;85;77;43;26;3;32;381;2415;20080101
AT1;AT13;AT130;92100;92119;2;1691;61;36;19;34;29;9;15;2;3;188;1295;20080101
AT1;AT13;AT130;92100;92120;2;811;63;30;14;24;44;7;4;1;4;124;496;20080101
AT1;AT13;AT130;92100;92121;2;3099;209;88;46;72;83;50;20;2;17;410;2102;20080101
AT1;AT13;AT130;92100;92122;2;4280;133;132;76;114;65;51;44;2;28;585;3050;20080101
AT1;AT13;AT130;92100;92123;2;5122;288;135;95;151;105;57;43;3;56;612;3577;20080101
AT1;AT13;AT130;92100;92124;2;1641;30;24;30;56;14;15;13;2;2;151;1304;20080101
AT1;AT13;AT130;92100;92125;2;1864;38;23;50;63;21;13;8;1;6;218;1423;20080101
AT1;AT13;AT130;92100;92126;2;3840;93;80;58;80;63;30;42;0;9;400;2985;20080101
AT1;AT13;AT130;92100;92127;2;729;5;7;16;8;2;4;3;0;13;100;571;20080101
AT1;AT13;AT130;92100;92128;2;136;14;12;3;4;9;2;1;0;0;40;51;20080101
AT1;AT13;AT130;92100;92129;2;81;0;0;0;0;0;0;0;0;1;1;79;20080101
AT1;AT13;AT130;92100;92130;2;11;0;0;0;0;0;0;0;0;0;0;11;20080101
AT1;AT13;AT130;92100;92199;2;14;0;1;0;0;0;0;0;0;0;4;9;20080101
AT1;AT13;AT130;92200;92201;2;905;7;17;14;19;3;5;6;0;0;107;727;20080101
AT1;AT13;AT130;92200;92202;2;1439;45;14;21;14;14;11;7;2;6;150;1155;20080101
AT1;AT13;AT130;92200;92203;2;702;16;1;20;4;4;2;6;0;2;60;587;20080101
AT1;AT13;AT130;92200;92204;2;1935;33;19;36;29;17;13;15;1;8;122;1642;20080101
AT1;AT13;AT130;92200;92205;2;2525;35;14;35;60;8;12;16;1;5;201;2138;20080101
AT1;AT13;AT130;92200;92206;2;5877;122;156;61;111;48;37;33;5;7;576;4721;20080101
AT1;AT13;AT130;92200;92207;2;2458;36;2;43;62;14;30;16;5;11;228;2011;20080101
AT1;AT13;AT130;92200;92208;2;7453;266;189;81;241;138;85;45;12;17;1070;5309;20080101
AT1;AT13;AT130;92200;92209;2;6937;207;178;120;158;81;47;42;5;20;829;5250;20080101
AT1;AT13;AT130;92200;92210;2;2901;50;51;55;59;41;40;24;1;17;417;2146;20080101
AT1;AT13;AT130;92200;92211;2;5794;203;115;103;139;69;65;48;1;101;698;4252;20080101
AT1;AT13;AT130;92200;92212;2;1680;59;70;25;30;14;10;11;1;4;259;1197;20080101
